"price","number_of_reviews","regulation","Old_Town","Etobicoke","North_York","East_York","York","Scarborough","Entire_home_apt","Hotel_room","Private_room","Shared_room"
88,145,0,1,0,0,0,0,0,0,0,1,0
142,16,0,1,0,0,0,0,0,0,0,1,0
60,36,0,1,0,0,0,0,0,0,0,1,0
110,20,0,1,0,0,0,0,0,1,0,0,0
200,16,1,1,0,0,0,0,0,1,0,0,0
191,93,0,1,0,0,0,0,0,1,0,0,0
73,18,0,1,0,0,0,0,0,0,0,1,0
73,18,1,1,0,0,0,0,0,0,0,1,0
75,59,0,1,0,0,0,0,0,1,0,0,0
80,62,1,1,0,0,0,0,0,1,0,0,0
64,94,1,0,0,0,1,0,0,0,0,0,1
90,24,0,1,0,0,0,0,0,0,0,1,0
90,24,1,1,0,0,0,0,0,0,0,1,0
31,37,1,1,0,0,0,0,0,0,0,1,0
52,37,0,1,0,0,0,0,0,0,0,1,0
85,23,0,1,0,0,0,0,0,0,0,1,0
85,23,1,1,0,0,0,0,0,0,0,1,0
260,0,1,1,0,0,0,0,0,1,0,0,0
260,0,0,1,0,0,0,0,0,1,0,0,0
48,85,0,1,0,0,0,0,0,0,0,0,1
185,137,0,1,0,0,0,0,0,1,0,0,0
218,148,1,1,0,0,0,0,0,1,0,0,0
95,27,0,1,0,0,0,0,0,1,0,0,0
100,64,1,1,0,0,0,0,0,1,0,0,0
115,60,0,1,0,0,0,0,0,1,0,0,0
500,0,0,1,0,0,0,0,0,1,0,0,0
140,0,0,0,0,1,0,0,0,0,0,1,0
140,0,1,0,0,1,0,0,0,0,0,1,0
232,2,0,1,0,0,0,0,0,1,0,0,0
232,2,1,1,0,0,0,0,0,1,0,0,0
207,9,0,1,0,0,0,0,0,1,0,0,0
361,9,1,1,0,0,0,0,0,1,0,0,0
650,1,0,1,0,0,0,0,0,1,0,0,0
121,38,1,1,0,0,0,0,0,1,0,0,0
139,32,0,1,0,0,0,0,0,1,0,0,0
182,15,0,1,0,0,0,0,0,1,0,0,0
203,15,1,1,0,0,0,0,0,1,0,0,0
130,217,0,1,0,0,0,0,0,1,0,0,0
161,217,1,1,0,0,0,0,0,1,0,0,0
65,0,0,1,0,0,0,0,0,0,0,1,0
64,18,0,1,0,0,0,0,0,1,0,0,0
60,828,1,1,0,0,0,0,0,0,0,1,0
60,819,0,1,0,0,0,0,0,0,0,1,0
45,2,1,1,0,0,0,0,0,1,0,0,0
350,20,0,1,0,0,0,0,0,1,0,0,0
90,6,0,1,0,0,0,0,0,1,0,0,0
55,7,1,1,0,0,0,0,0,1,0,0,0
80,4,0,1,0,0,0,0,0,0,0,1,0
45,4,1,1,0,0,0,0,0,0,0,1,0
83,3,1,1,0,0,0,0,0,0,0,1,0
83,3,0,1,0,0,0,0,0,0,0,1,0
45,32,1,0,0,1,0,0,0,0,0,1,0
45,32,0,0,0,1,0,0,0,0,0,1,0
198,68,1,1,0,0,0,0,0,1,0,0,0
198,68,0,1,0,0,0,0,0,1,0,0,0
155,4,0,0,0,1,0,0,0,1,0,0,0
155,4,1,0,0,1,0,0,0,1,0,0,0
120,1,1,1,0,0,0,0,0,1,0,0,0
175,1,0,1,0,0,0,0,0,1,0,0,0
225,5,0,0,0,1,0,0,0,1,0,0,0
225,5,1,0,0,1,0,0,0,1,0,0,0
145,2,1,1,0,0,0,0,0,1,0,0,0
165,2,0,1,0,0,0,0,0,1,0,0,0
65,3,0,1,0,0,0,0,0,1,0,0,0
56,39,1,1,0,0,0,0,0,1,0,0,0
89,39,0,1,0,0,0,0,0,1,0,0,0
142,227,0,1,0,0,0,0,0,1,0,0,0
140,234,1,1,0,0,0,0,0,1,0,0,0
200,1,0,1,0,0,0,0,0,0,0,1,0
80,254,0,1,0,0,0,0,0,1,0,0,0
214,256,1,1,0,0,0,0,0,1,0,0,0
68,1,1,1,0,0,0,0,0,1,0,0,0
90,354,0,1,0,0,0,0,0,0,0,1,0
140,9,1,0,0,0,0,1,0,1,0,0,0
140,9,0,0,0,0,0,1,0,1,0,0,0
30,18,0,1,0,0,0,0,0,0,0,1,0
30,19,1,1,0,0,0,0,0,0,0,1,0
240,7,1,1,0,0,0,0,0,1,0,0,0
300,7,0,1,0,0,0,0,0,1,0,0,0
198,0,0,1,0,0,0,0,0,1,0,0,0
55,33,0,0,0,1,0,0,0,0,0,1,0
55,33,1,0,0,1,0,0,0,0,0,1,0
313,69,0,1,0,0,0,0,0,1,0,0,0
199,61,1,1,0,0,0,0,0,1,0,0,0
189,59,0,1,0,0,0,0,0,1,0,0,0
115,99,0,0,0,0,0,1,0,1,0,0,0
115,99,1,0,0,0,0,1,0,1,0,0,0
65,0,0,1,0,0,0,0,0,0,0,1,0
106,115,1,1,0,0,0,0,0,1,0,0,0
108,115,0,1,0,0,0,0,0,1,0,0,0
62,12,0,1,0,0,0,0,0,0,0,1,0
138,119,1,1,0,0,0,0,0,1,0,0,0
151,118,0,1,0,0,0,0,0,1,0,0,0
150,6,0,1,0,0,0,0,0,1,0,0,0
78,172,0,1,0,0,0,0,0,1,0,0,0
78,175,1,1,0,0,0,0,0,1,0,0,0
225,76,1,1,0,0,0,0,0,1,0,0,0
225,76,0,1,0,0,0,0,0,1,0,0,0
145,69,0,1,0,0,0,0,0,1,0,0,0
108,6,1,0,0,1,0,0,0,1,0,0,0
108,6,0,0,0,1,0,0,0,1,0,0,0
225,52,1,1,0,0,0,0,0,1,0,0,0
223,51,0,1,0,0,0,0,0,1,0,0,0
100,0,0,1,0,0,0,0,0,0,0,0,1
55,154,0,1,0,0,0,0,0,0,0,1,0
295,18,1,1,0,0,0,0,0,1,0,0,0
55,113,0,1,0,0,0,0,0,0,0,1,0
226,150,1,1,0,0,0,0,0,1,0,0,0
226,148,0,1,0,0,0,0,0,1,0,0,0
62,9,0,1,0,0,0,0,0,0,0,1,0
62,12,0,1,0,0,0,0,0,0,0,1,0
44,26,0,1,0,0,0,0,0,0,1,0,0
54,5,0,1,0,0,0,0,0,0,0,1,0
54,12,0,1,0,0,0,0,0,0,0,1,0
43,15,0,1,0,0,0,0,0,0,0,1,0
43,5,0,1,0,0,0,0,0,0,0,1,0
149,33,0,1,0,0,0,0,0,1,0,0,0
149,33,1,1,0,0,0,0,0,1,0,0,0
199,11,0,1,0,0,0,0,0,1,0,0,0
199,11,1,1,0,0,0,0,0,1,0,0,0
90,3,0,1,0,0,0,0,0,1,0,0,0
90,3,1,1,0,0,0,0,0,1,0,0,0
60,57,0,1,0,0,0,0,0,0,0,1,0
72,3,0,1,0,0,0,0,0,1,0,0,0
85,3,1,1,0,0,0,0,0,1,0,0,0
55,39,0,1,0,0,0,0,0,0,0,1,0
99,1,0,1,0,0,0,0,0,1,0,0,0
264,39,0,1,0,0,0,0,0,1,0,0,0
109,29,0,1,0,0,0,0,0,1,0,0,0
139,31,1,1,0,0,0,0,0,1,0,0,0
350,0,0,1,0,0,0,0,0,1,0,0,0
149,82,1,1,0,0,0,0,0,1,0,0,0
149,82,0,1,0,0,0,0,0,1,0,0,0
130,13,0,1,0,0,0,0,0,1,0,0,0
130,13,1,1,0,0,0,0,0,1,0,0,0
115,7,0,1,0,0,0,0,0,1,0,0,0
115,7,1,1,0,0,0,0,0,1,0,0,0
90,199,0,1,0,0,0,0,0,1,0,0,0
71,40,0,1,0,0,0,0,0,0,0,1,0
71,40,1,1,0,0,0,0,0,0,0,1,0
57,10,0,1,0,0,0,0,0,0,0,1,0
129,105,0,1,0,0,0,0,0,1,0,0,0
50,10,0,0,0,1,0,0,0,0,0,1,0
82,10,0,1,0,0,0,0,0,0,0,1,0
82,10,1,1,0,0,0,0,0,0,0,1,0
75,0,0,1,0,0,0,0,0,1,0,0,0
75,0,1,1,0,0,0,0,0,1,0,0,0
38,28,0,0,0,0,0,0,1,0,0,1,0
450,0,0,0,0,0,1,0,0,1,0,0,0
450,0,1,0,0,0,1,0,0,1,0,0,0
31,17,1,1,0,0,0,0,0,0,0,1,0
31,17,0,1,0,0,0,0,0,0,0,1,0
33,9,0,1,0,0,0,0,0,0,0,1,0
33,9,1,1,0,0,0,0,0,0,0,1,0
100,0,0,1,0,0,0,0,0,0,0,0,1
100,0,1,1,0,0,0,0,0,0,0,0,1
159,3,0,1,0,0,0,0,0,0,0,0,1
95,10,0,1,0,0,0,0,0,1,0,0,0
95,10,1,1,0,0,0,0,0,1,0,0,0
90,62,1,1,0,0,0,0,0,1,0,0,0
183,61,0,1,0,0,0,0,0,1,0,0,0
65,3,0,1,0,0,0,0,0,1,0,0,0
65,3,1,1,0,0,0,0,0,1,0,0,0
120,5,0,1,0,0,0,0,0,1,0,0,0
120,5,1,1,0,0,0,0,0,1,0,0,0
290,15,1,0,0,0,0,0,1,1,0,0,0
300,14,0,0,0,0,0,0,1,1,0,0,0
85,29,0,1,0,0,0,0,0,1,0,0,0
85,29,1,1,0,0,0,0,0,1,0,0,0
57,45,1,1,0,0,0,0,0,1,0,0,0
109,45,0,1,0,0,0,0,0,1,0,0,0
225,0,0,1,0,0,0,0,0,1,0,0,0
225,0,1,1,0,0,0,0,0,1,0,0,0
95,0,1,1,0,0,0,0,0,1,0,0,0
65,96,0,1,0,0,0,0,0,0,0,1,0
65,96,1,1,0,0,0,0,0,0,0,1,0
50,148,0,1,0,0,0,0,0,0,0,1,0
99,241,0,1,0,0,0,0,0,0,0,1,0
100,15,0,1,0,0,0,0,0,1,0,0,0
100,15,1,1,0,0,0,0,0,1,0,0,0
145,18,1,1,0,0,0,0,0,1,0,0,0
195,17,0,1,0,0,0,0,0,1,0,0,0
177,22,1,1,0,0,0,0,0,1,0,0,0
330,20,0,1,0,0,0,0,0,1,0,0,0
165,4,1,1,0,0,0,0,0,1,0,0,0
285,10,0,1,0,0,0,0,0,1,0,0,0
145,3,0,1,0,0,0,0,0,1,0,0,0
90,1,1,1,0,0,0,0,0,1,0,0,0
152,6,0,0,0,1,0,0,0,1,0,0,0
188,51,0,1,0,0,0,0,0,1,0,0,0
350,9,0,1,0,0,0,0,0,1,0,0,0
390,9,1,1,0,0,0,0,0,1,0,0,0
98,161,0,0,0,0,1,0,0,1,0,0,0
98,164,1,0,0,0,1,0,0,1,0,0,0
85,19,0,1,0,0,0,0,0,1,0,0,0
195,9,0,1,0,0,0,0,0,1,0,0,0
141,21,0,0,0,0,0,0,1,0,0,1,0
45,1,1,1,0,0,0,0,0,0,0,1,0
63,55,1,1,0,0,0,0,0,0,0,1,0
69,51,0,1,0,0,0,0,0,0,0,1,0
95,6,1,1,0,0,0,0,0,1,0,0,0
93,6,0,1,0,0,0,0,0,1,0,0,0
70,47,1,1,0,0,0,0,0,1,0,0,0
139,0,0,1,0,0,0,0,0,1,0,0,0
139,0,1,1,0,0,0,0,0,1,0,0,0
75,25,0,1,0,0,0,0,0,1,0,0,0
90,25,1,1,0,0,0,0,0,1,0,0,0
110,3,0,1,0,0,0,0,0,1,0,0,0
110,5,1,1,0,0,0,0,0,1,0,0,0
50,142,1,0,0,1,0,0,0,0,0,1,0
58,97,0,0,0,1,0,0,0,0,0,1,0
149,10,0,1,0,0,0,0,0,1,0,0,0
149,10,1,1,0,0,0,0,0,1,0,0,0
400,1,0,1,0,0,0,0,0,1,0,0,0
